顽固,wángù,stubborn; obstinate
地步,dìbù,degree (to which a situation has evolved); leeway; situation; stage
干劲,gànjìn,enthusiasm for doing sth
珍稀,zhēnxī,precious and uncommon; rare
障碍,zhàngài,barrier; hindrance; impediment; obstacle; obstruction
垂直,chuízhí,perpendicular; vertical
圆满,yuánmǎn,consummate; perfect; satisfactory
特意,tèyì,intentionally; specially
衷心,zhōngxīn,cordial; heartfelt; wholehearted
迫不及待,pòbùjídài,impatient (idiom); in a hurry; itching to get on with it
音响,yīnxiǎng,acoustics; audio; hi-fi system; sound; stereo sound system
宽敞,kuānchang,spacious; wide
雌雄,cíxióng,male and female
无偿,wúcháng,free; no charge; at no cost
饥饿,jīè,famine; hunger; starvation
家属,jiāshǔ,(family) dependent; family member
正规,zhèngguī,according to standards; regular
赤字,chìzì,(financial) deficit; red letter
课题,kètí,issue; problem; task
出路,chūlù,a way forward; a way out (lit. and fig.); opportunity for advancement; outlet (for one's products)
铜,tóng,copper (chemistry)
踪迹,zōngjì,footprint; trace; tracks; trail; vestige
不时,bùshí,frequently; from time to time; now and then; occasionally
流露,liúlù,to reveal (indirectly, implicitly); to show (interest, contempt etc) by means of one's actions, tone of voice etc
寂静,jìjìng,quiet
瞬间,shùnjiān,in a flash; in an instant
钙,gài,calcium (chemistry)
改良,gǎiliáng,to improve (sth); to reform (a system)
情形,qíngxing,circumstances; situation
洪水,hóngshuǐ,deluge; flood
藐视,miǎoshì,to despise; to look down on
奖励,jiǎnglì,reward (as encouragement); to reward
熏陶,xūntáo,influence; to influence; to nurture; to seep in; training
生效,shēngxiào,to go into effect; to take effect
岂有此理,qǐyǒucǐlǐ,absurd; how can this be so? (idiom); preposterous; ridiculous
崇拜,chóngbài,adoration; to worship
忍受,rěnshòu,to bear; to endure
协议,xiéyì,agreement; pact; protocol
舞蹈,wǔdǎo,dance (performance art); dancing
烘,hōng,to bake; to heat by fire; to set off by contrast
精简,jīngjiǎn,to reduce; to simplify
慈善,císhàn,benevolent; charitable
旗帜,qízhì,ensign; flag
著作,zhùzuò,article; book; literary work; to write; writings
番,fān,barbarian; classifier for iterations: times, -fold (as in twofold etc); classifier for occurrences (of an event, action or speech utterance); classifier for situations: kind, sort; foreign (non-Chinese)
鸽子,gēzi,dove; pigeon; various birds of the family Columbidae
搭档,dādàng,partner; to cooperate
振奋,zhènfèn,to inspire; to raise one's spirits; to stir oneself up
炫耀,xuànyào,dazzling; to flaunt; to show off
大致,dàzhì,more or less; roughly; approximately
绅士,shēnshì,gentleman
供不应求,gōngbùyìngqiú,supply does not meet demand
级别,jíbié,(military) rank; grade; level
团体,tuántǐ,group; organization; team
俗话,súhuà,common saying; proverb
崇敬,chóngjìng,high esteem; to revere; to venerate
阻拦,zǔlán,to obstruct; to stop
干扰,gānrǎo,interference (physics); perturbation; to disturb; to interfere
涉及,shèjí,to involve; to touch upon (a topic)
消耗,xiāohào,to consume; to use up
担保,dānbǎo,to guarantee; to vouch for
毒品,dúpǐn,drugs; narcotics; poison
固体,gùtǐ,solid
电源,diànyuán,electric power source
告辞,gàocí,to say goodbye; to take one's leave
明智,míngzhì,judicious; sagacious; sensible; wise
颁发,bānfā,to award; to issue; to promulgate
进化,jìnhuà,evolution
慎重,shènzhòng,careful; cautious; prudent
收缩,shōusuō,(physiology) systole; to contract; to pull back; to shrink
拧,níng,to pinch; wring
拧,nìng,stubborn
拧,nǐng,mistake; to twist
以免,yǐmiǎn,in order to avoid; so as not to
性感,xìnggǎn,eroticism; sex appeal; sexuality; sexy
寒暄,hánxuān,to exchange conventional greetings; to exchange pleasantries
伺候,cìhou,to serve; to wait upon
阻挠,zǔnáo,to obstruct (sth); to thwart
鲜明,xiānmíng,bright; clear-cut; distinct
不择手段,bùzéshǒuduàn,by fair means or foul; by hook or by crook; unscrupulously
宪法,xiànfǎ,constitution (of a country)
开朗,kāilǎng,(of character) optimistic; carefree; cheerful; open and clear; spacious and well-lit
刊登,kāndēng,to carry a story; to publish (in a newspaper or magazine)
得天独厚,détiāndúhòu,blessed by heaven (idiom); enjoying exceptional advantages; favored by nature
名副其实,míngfùqíshí,aptly named; not just in name only, but also in reality (idiom); worthy of the name
统筹兼顾,tǒngchóujiāngù,an overall plan taking into account all factors
灵感,línggǎn,a burst of creativity in scientific or artistic endeavor; insight; inspiration
事项,shìxiàng,item; matter
倡议,chàngyì,initiative; proposal; to initiate; to suggest
操练,cāoliàn,drill; practice
严厉,yánlì,severe; strict
肖像,xiàoxiàng,(in a general sense) representation of a person; likeness; portrait (painting, photo etc)
迹象,jìxiàng,sign; indication; mark; indicator
空隙,kòngxì,crack; gap between two objects; gap in time between two events
当初,dāngchū,at that time; originally
拄,zhǔ,to lean on; to prop on
轮廓,lúnkuò,an outline; silhouette
别致,biézhì,unusual; unique
行列,hángliè,(fig.) ranks (as in "join the ranks of ..."); array; formation
等级,děngjí,grade; rank; status
尚且,shàngqiě,(not) even; still; yet
排放,páifàng,(of animals) to ovulate; to discharge semen; to arrange in order; to emit; to discharge (exhaust gas, waste water etc)
智能,zhìnéng,able; intelligent; smart (phone, system, bomb etc)
空洞,kōngdòng,cavity; empty; vacuous
书记,shūji,clerk; scribe; secretary (chief official of a branch of a socialist or communist party)
妄想,wàngxiǎng,a vain attempt; delusion; to attempt vainly
简陋,jiǎnlòu,simple and crude
简要,jiǎnyào,brief; concise
伪造,wěizào,to counterfeit; to fake; to forge
分泌,fēnmì,secretion; to secrete
过渡,guòdù,caretaker (administration); interim; to cross over (by ferry); transition
徘徊,páihuái,(of sales figures etc) to fluctuate; to dither; to hesitate; to pace back and forth
烹饪,pēngrèn,cooking; culinary arts
结局,jiéjú,conclusion; ending
搭,dā,to add; to arrange in pairs; to build (scaffolding); to connect; to hang (clothes on a pole); to join; to match; to put up; to take (boat, train); to throw in (resources)
宏伟,hóngwěi,grand; imposing; magnificent
考察,kǎochá,on-the-spot investigation; to inspect; to observe and study
华丽,huálì,gorgeous
分裂,fēnliè,fission; schism; to break up; to divide; to split up
志气,zhìqì,ambition; backbone; drive; resolve; spirit
虐待,nüèdài,maltreatment; mistreatment; to abuse; to maltreat; to mistreat
坡,pō,slanted; slope; sloping
手艺,shǒuyì,craftmanship; handicraft; trade; workmanship
枕头,zhěntou,pillow
悲惨,bēicǎn,miserable; tragic
唯独,wéidú,all except; just (i.e. it is only that...); only; unique
鉴定,jiàndìng,to appraise; to evaluate; to identify
掰,bāi,(fig.) to break off (a relationship); to break off or break open sth with one's hands
外向,wàixiàng,(economics etc) export-oriented; extroverted (personality)
基金,jījīn,fund
凝聚,níngjù,aggregation; coacervation (i.e. form tiny droplets); coherent; to coagulate; to condense
比方,bǐfang,analogy; for instance; instance
损坏,sǔnhuài,to damage; to injure
透露,tòulù,to divulge; to leak out; to reveal
卓越,zhuóyuè,distinguished; outstanding; splendid; surpassing
捕捉,bǔzhuō,to capture; to catch; to seize
伯母,bómǔ,(polite form of address for a woman who is about the age of one's mother); aunt; wife of father's elder brother
妥协,tuǒxié,a compromise; to compromise; to reach terms
臂,bì,arm
迷人,mírén,charming; enchanting; fascinating; tempting
锲而不舍,qièérbùshě,to chip away at a task and not abandon it (idiom); to chisel away at sth; to persevere; unflagging efforts
通缉,tōngjī,to list as wanted; to order the arrest of sb as criminal
各抒己见,gèshūjǐjiàn,everyone gives their own view
晴朗,qínglǎng,sunny and cloudless
落实,luòshí,practical; to carry out; to decide; to implement; workable
遗传,yíchuán,heredity; to inherit (a trait); to pass on (to one's offspring)
遥远,yáoyuǎn,distant; remote
故乡,gùxiāng,home; homeland; native place
航空,hángkōng,aviation
拳头,quántou,clenched fist; competitive (product); fist
罐,guàn,can; jar; pot
抵抗,dǐkàng,resistance; to resist
精通,jīngtōng,to be proficient in; to master (a subject)
清晨,qīngchén,early morning
农历,nónglì,the lunar calendar; the traditional Chinese calendar
样品,yàngpǐn,sample; specimen
谋求,móuqiú,to seek; to strive for
歹徒,dǎitú,evildoer; gangster; hoodlum; malefactor
高潮,gāocháo,climax (of a story, a competition etc); high tide; high water; to have an orgasm; upsurge; peak of activity
巢穴,cháoxué,den; hideout; lair; nest
动荡,dòngdàng,commotion; turmoil; unrest (social or political); upheaval
岁月,suìyuè,time; years
残疾,cánjí,deformity on a person or animal; disabled; handicapped
侮辱,wǔrǔ,dishonor; to humiliate; to insult
案件,ànjiàn,case; instance
失误,shīwù,fault; lapse; mistake; service fault (in volleyball, tennis etc); to make a mistake
终点,zhōngdiǎn,destination; end point; finishing line (in a race); terminus; the end
捞,lāo,to dredge up; to fish up
平坦,píngtǎn,even; flat; level; smooth
儒家,Rújiā,Confucian school, founded by Confucius 孔子[Kong3 zi3] (551-479 BC) and Mencius 孟子[Meng4 zi3] (c. 372-c. 289 BC)
阶层,jiēcéng,social class
冒犯,màofàn,to offend
缘故,yuángù,cause; reason
诧异,chàyì,astonished; flabbergasted
磅,bàng,(loanword) pound (unit of weight, about 454 grams); (printing) point (unit used to measure the size of type); scale (instrument for weighing); to weigh
落成,luòchéng,to complete a construction project
周边,zhōubiān,all around; perimeter; peripheral (computing); periphery; rim; spin-offs; surroundings
保重,bǎozhòng,to take care of oneself
复活,fùhuó,(lit. and fig.) to come back to life; (religion) resurrection; to revive
主权,zhǔquán,sovereignty
起哄,qǐhòng,rowdy jeering; to create a disturbance; to heckle
破例,pòlì,to make an exception
酗酒,xùjiǔ,heavy drinking; to drink to excess; to get drunk
开展,kāizhǎn,(of an exhibition etc) to open; to develop; to launch; to unfold
精华,jīnghuá,best feature; essence; most important part of an object; quintessence; soul
确切,quèqiè,definite; exact; precise
过滤,guòlü,filter; to filter
逐年,zhúnián,over the years; with each passing year; year after year
四肢,sìzhī,the four limbs of the body
畏惧,wèijù,foreboding; to dread; to fear
畔,pàn,(bound form) side; edge; boundary
终止,zhōngzhǐ,to stop; to terminate
正当,zhèngdāng,just (when needed); timely
正当,zhèngdàng,fair; honest; reasonable; sensible
品质,pǐnzhì,character; intrinsic quality (of a person); quality (of a product or service, or as in "quality of life", "air quality" etc)
误差,wùchā,difference; error; inaccuracy
目光,mùguāng,(lit. and fig.) sight; vision; expression in one's eyes; look; gaze; (fig.) attention
优越,yōuyuè,superior; superiority
占据,zhànjù,to hold; to occupy
接连,jiēlián,in a row; in succession; on end
极限,jíxiàn,extreme boundary; limit
隆重,lóngzhòng,ceremonious; grand; prosperous; solemn
叮嘱,dīngzhǔ,to exhort again and again; to urge; to warn repeatedly
刹车,shāchē,a brake; to brake (when driving); to check (bad habits); to stop; to switch off
渴望,kěwàng,to long for; to thirst for
神经,shénjīng,(coll.) unhinged; mental state; nerve; nutjob
惊动,jīngdòng,to alarm; to disturb; to startle
柴油,cháiyóu,diesel fuel
沾光,zhānguāng,fig. to benefit from association with sb or sth; reflected glory; to bask in the light
预料,yùliào,expectation; to anticipate; to forecast
榜样,bǎngyàng,example; model
筛选,shāixuǎn,to filter
题材,tícái,subject matter
天伦之乐,tiānlúnzhīlè,domestic bliss; family love and joy
更正,gēngzhèng,to correct; to make a correction
颈椎,jǐngzhuī,cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals
人格,réngé,dignity; integrity; personality
阴谋,yīnmóu,a conspiracy; a plot; to conspire; to plot
手法,shǒufǎ,skill; technique; trick
独裁,dúcái,dictatorship
贬低,biǎndī,to belittle; to degrade; to demean; to devalue; to disparage; to play down
清理,qīnglǐ,to clear up; to dispose of; to tidy up
急切,jíqiè,eager; impatient
审查,shěnchá,censorship; to censor out; to examine; to investigate
主办,zhǔbàn,to host (a conference or sports event); to organize
悬念,xuánniàn,concern for sb's welfare; suspense in a movie, play etc
背叛,bèipàn,to betray
无能为力,wúnéngwéilì,helpless; impotent (idiom); powerless
伴随,bànsuí,concomitant; to accompany; to follow; to occur together with
成本,chéngběn,(manufacturing, production etc) costs
为难,wéinán,to feel embarrassed or awkward; to find things difficult (to do or manage); to make things difficult (for someone)
测量,cèliáng,survey; to determine; to gauge; to measure
哨,shào,a whistle; sentry
刺,cì,sting; thorn; thrust; to assassinate; to murder; to pierce; to prick; to stab
刺,cī,(onom.) whoosh
视频,shìpín,video
风土人情,fēngtǔrénqíng,local conditions and customs (idiom)
联络,liánluò,(math.) connection; liaison; to contact; to get in touch with; to stay in contact (with)
指定,zhǐdìng,designated; to appoint; to assign; to indicate clearly and with certainty
快活,kuàihuo,cheerful; happy
堵塞,dǔsè,blockage; to clog up
高峰,gāofēng,height; peak; summit
辜负,gūfù,to betray (hopes); to disappoint; to fail to live up (to expectations); to let down; unworthy (of trust)
勾结,gōujié,to collaborate with; to collude with; to gang up with
维护,wéihù,to defend; to maintain; to protect; to safeguard; to uphold
短促,duǎncù,brief; curt (tone of voice); fleeting; gasping (breath); short in time
代价,dàijià,consideration (in share dealing); cost; price
留恋,liúliàn,reluctant to leave; to hate to have to go; to recall fondly
注视,zhùshì,to look attentively at; to closely watch; to gaze at
特定,tèdìng,designated; particular; special; specific
佳肴,jiāyáo,delicacies; delicious food; fine food
遭受,zāoshòu,to suffer; to sustain (loss, misfortune)
杂交,zájiāo,promiscuity; to crossbreed; to hybridize
揭露,jiēlù,disclosure; to disclose; to expose; to ferret out; to unmask
方针,fāngzhēn,guidelines; policy
叹气,tànqì,to heave a sigh; to sigh
公务,gōngwù,official business
捆绑,kǔnbǎng,to bind
成天,chéngtiān,(coll.) all day long; all the time
定义,dìngyì,definition; to define
权衡,quánhéng,to balance (pros and cons); to consider; to weigh (a matter)
请帖,qǐngtiě,invitation card; written invitation
倘若,tǎngruò,if; supposing; in case
桥梁,qiáoliáng,bridge (lit. and fig.)
平凡,píngfán,commonplace; mediocre; ordinary
颠倒,diāndǎo,back to front; confused; crazy; deranged; to reverse; to turn upside down
土壤,tǔrǎng,soil
剧烈,jùliè,violent; acute; severe; fierce
让步,ràngbù,(linguistics) concessive; a concession; to concede; to give in; to yield
当选,dāngxuǎn,to be elected; to be selected
固有,gùyǒu,inherent; intrinsic to sth; native
凝固,nínggù,fig. with rapt attention; to congeal; to freeze; to solidify
取缔,qǔdì,to suppress; to crack down on; to prohibit
插座,chāzuò,outlet; socket
边境,biānjìng,frontier; border
领先,lǐngxiān,to be in front; to lead
安宁,Ānníng,Anning City, to the west of Kunming 昆明[Kun1 ming2], Yunnan; Anning District of Lanzhou City 蘭州市|兰州市[Lan2 zhou1 Shi4], Gansu
安宁,ānníng,calm; composed; free from worry; peaceful; tranquil
冷却,lěngquè,to cool (lit. and fig.)
削,xuē,to pare; to reduce; to remove
削,xiāo,to cut (a ball at tennis etc); to pare; to peel with a knife
炉灶,lúzào,stove
美满,měimǎn,blissful; happy
挫折,cuòzhé,check; defeat; disappointment; frustration; reverse; setback; to blunt; to discourage; to frustrate; to set sb back; to subdue
珍珠,zhēnzhū,pearl
严峻,yánjùn,grim; rigorous; severe
优异,yōuyì,exceptional; outstandingly good
足以,zúyǐ,so much so that; so that; sufficient to...
款式,kuǎnshì,design; pattern; style
款式,kuǎnshi,elegance; elegant; good taste
衬托,chèntuō,to serve to highlight; to serve as a backdrop or contrasting element
吩咐,fēnfù,to command; to instruct; to tell
搭配,dāpèi,to add sth into a group; to arrange in pairs; to match; to pair up
贩卖,fànmài,to peddle; to sell; to traffic
刑事,xíngshì,criminal; penal
体谅,tǐliàng,to allow (for sth); to appreciate; to empathize; to show understanding
书面,shūmiàn,in writing; written
折腾,zhēteng,to play crazy; to repeat sth over and over again; to squander (time, money); to torment sb; to toss from side to side (e.g. sleeplessly)
要点,yàodiǎn,essential; main point
灿烂,cànlàn,brilliant; splendid; to glitter
编织,biānzhī,(fig.) to create (sth abstract, e.g. a dream, a lie etc); to weave; to knit; to plait; to braid
失事,shīshì,(of a plane, ship etc) to have an accident (plane crash, shipwreck, vehicle collision etc); to mess things up
注释,zhùshì,explanatory note; annotation; to annotate; to add a comment
款待,kuǎndài,to be hospitable to; to entertain
公告,gōnggào,announcement; post
留神,liúshén,to be careful; to take care
辫子,biànzi,a mistake or shortcoming that may be exploited by an opponent; braid; handle; pigtail; plait
缓和,huǎnhé,to allay; to alleviate; to ease (tension); to make more mild; to moderate
得罪,dézuì,excuse me! (formal); to commit an offense; to violate the law
得罪,dézui,a faux pas; to make a faux pas; to offend sb
保姆,bǎomǔ,housekeeper; nanny
技巧,jìqiǎo,skill; technique
盲目,mángmù,blind; blindly; ignorant; lacking understanding
吹捧,chuīpěng,adulation; to flatter; to laud sb's accomplishments
眼神,yǎnshén,expression or emotion showing in one's eyes; eyesight (dialect); meaningful glance; wink
觉醒,juéxǐng,awakened to the truth; scales fall from the eyes; the truth dawns upon one; to awaken; to become aware; to come to realize
反面,fǎnmiàn,backside; bad; negative; reverse side; the other side (of a problem etc)
刊物,kānwù,publication
以致,yǐzhì,down to; to such an extent as to; up to
有条不紊,yǒutiáobùwěn,regular and thorough (idiom); methodically arranged
领袖,lǐngxiù,leader
嫌,xián,enmity; resentment; suspicion; to dislike
反抗,fǎnkàng,to rebel; to resist
噪音,zàoyīn,noise; rumble; static (in a signal)
施展,shīzhǎn,to put to use; to use fully
抛弃,pāoqì,to abandon; to discard; to dump (sb); to renounce
立交桥,lìjiāoqiáo,flyover; overpass
动脉,dòngmài,artery
力争,lìzhēng,to contend strongly; to do all one can; to work hard for
牢固,láogù,firm; secure
开拓,kāituò,fig. to open up (new horizons); to break new ground (for agriculture); to develop (border regions); to open up (a new seam)
迎面,yíngmiàn,directly; head-on (collision); in one's face (of wind)
销毁,xiāohuǐ,to destroy (by melting or burning); to obliterate
愣,lèng,(coll.) unexpectedly; blank; distracted; rash; rashly; to look distracted; to stare blankly
不料,bùliào,to one's surprise; unexpectedly
一帆风顺,yīfānfēngshùn,have a nice trip!; plain sailing; propitious wind throughout the journey (idiom); to go smoothly
内涵,nèihán,connotation (semantics); implication; inner qualities (of a person); meaningful content
昌盛,chāngshèng,prosperous
亲密,qīnmì,close; intimate
联盟,liánméng,alliance; coalition; union
荒凉,huāngliáng,desolate
砖,zhuān,brick
灭亡,mièwáng,to be destroyed; to become extinct; to destroy; to die out; to exterminate; to perish
秃,tū,bald; blunt
异常,yìcháng,extremely; exceptionally; unusual; abnormal
发呆,fādāi,to be lost in thought; to be stunned; to stare blankly
丁,dīng,(archaic) ancient Chinese compass point: 195°; (chemistry) butyl; (literary) to encounter; fourth (used like "4" or "D"); male adult; small cube of meat or vegetable; the 4th of the 10 Heavenly Stems 天干[tian1 gan1]
气象,qìxiàng,ambience; atmosphere; meteorological feature; meteorology; scene
立方,lìfāng,cube (math.)
嘴唇,zuǐchún,lip
仓促,cāngcù,all of a sudden; hurriedly
外表,wàibiǎo,external; outside; outward appearance
宫殿,gōngdiàn,palace
英勇,yīngyǒng,gallant; heroic; valiant
憋,biē,to choke; to hold (one's breath); to hold back; to hold in (urine); to restrain; to stifle
皇帝,huángdì,emperor
步伐,bùfá,(measured) step; march; pace
亚军,yàjūn,runner-up; second place (in a sports contest)
容器,róngqì,(computing) container; receptacle; vessel
砸,zá,to bungle; to fail; to muck up; to pound; to smash
企图,qǐtú,attempt; to attempt; to try
机械,jīxiè,(old) cunning; machine; machinery; mechanical; scheming
指责,zhǐzé,to criticize; to denounce; to find fault with
创作,chuàngzuò,creation; creative work; to create; to produce; to write
陶醉,táozuì,to be infatuated with; to be drunk with; to be enchanted with; to revel in
对照,duìzhào,to check; to compare; to contrast; to place side by side for comparison (as parallel texts)
日益,rìyì,day by day; increasingly; more and more; more and more with each passing day
不禁,bùjīn,can't help (doing sth); can't refrain from
纯粹,chúncuì,completely; pure; purely; unadulterated
着迷,zháomí,to be captivated; to be fascinated
奴隶,núlì,slave
觉悟,juéwù,Buddhist enlightenment (Sanskrit: cittotpāda); awareness; consciousness; to come to understand; to realize
拿手,náshǒu,expert in; good at
瓦解,wǎjiě,to collapse; to disintegrate; to crumble; to disrupt; to break up
苏醒,sūxǐng,to awaken; to come to; to regain consciousness
凌晨,língchén,in the wee hours; very early in the morning
偶像,ǒuxiàng,idol
崭新,zhǎnxīn,brand new
立场,lìchǎng,position; standpoint
比重,bǐzhòng,proportion; specific gravity
牵,qiān,(bound form) to involve; to draw in; to lead along; to pull (an animal on a tether)
广阔,guǎngkuò,vast; wide
转折,zhuǎnzhé,plot shift in a book; shift in the trend of events; turn in the conversation; turnaround
忧郁,yōuyù,sullen; depressed; melancholy; dejected
半途而废,bàntúérfèi,to give up halfway (idiom); leave sth unfinished
分解,fēnjiě,to break down; to decompose; to resolve
品尝,pǐncháng,to sample; to taste a small amount
相声,xiàngsheng,comic dialogue; crosstalk; sketch
方言,Fāngyán,the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters
方言,fāngyán,dialect; topolect
行政,xíngzhèng,(attributive) administrative; executive; administration
文献,wénxiàn,document
脆弱,cuìruò,frail; weak
奔波,bēnbō,to be constantly on the move; to rush about
过瘾,guòyǐn,fulfilling; gratifying; immensely enjoyable; satisfying; to get a kick out of sth; to satisfy a craving
渣,zhā,dregs; slag (in mining or smelting)
怠慢,dàimàn,to neglect; to slight
贫困,pínkùn,impoverished; poverty
流氓,liúmáng,gangster; hoodlum; immoral behavior; rogue
园林,yuánlín,gardens; park; landscape garden
基地,jīdì,al-Qaeda; base (of operations); industrial or military base
曲子,qǔzi,music; poem for singing; tune
开阔,kāikuò,open (spaces); to open up; wide
裁缝,cáiféng,to make an item of clothing; to tailor
裁缝,cáifeng,dressmaker; tailor
皆,jiē,all; each and every; in all cases
丰收,fēngshōu,bumper harvest
住宅,zhùzhái,residence; dwelling; abode
口音,kǒuyīn,oral speech sounds (linguistics)
口音,kǒuyin,accent; voice
台风,táifēng,typhoon
台风,táifēng,stage presence, poise
火药,huǒyào,gunpowder
总和,zǒnghé,sum
悬崖峭壁,xuányáqiàobì,sheer cliffs and precipitous rock faces (idiom)
杜绝,dùjué,to put an end to
条款,tiáokuǎn,clause (of contract or law)
拜年,bàinián,to pay a New Year call; to wish sb a Happy New Year
机灵,jīling,clever; quick-witted
名次,míngcì,place; position in a ranking of names; rank
天赋,tiānfù,gift; innate skill
跨,kuà,to span; to step across; to straddle; to stride over
连年,liánnián,over many years; successive years
俘虏,fúlǔ,captive
魔鬼,móguǐ,devil
以至,yǐzhì,down to; to such an extent as to ...; up to
挖掘,wājué,to dig; to excavate; to unearth
鉴于,jiànyú,considering; in view of; seeing that; whereas
喜悦,xǐyuè,happy; joyous
势必,shìbì,to be bound to; undoubtedly will
吊,diào,to hang a person; to hang up; to suspend
吊,diào,a string of 100 cash (arch.); to condole with; to lament
宏观,hóngguān,holistic; macro-; macroscopic
考古,kǎogǔ,archaeology
不屑一顾,bùxièyīgù,to disdain as beneath contempt (idiom)
大不了,dàbùliǎo,(usu. in the negative) serious; alarming; at worst; if worst comes to worst
无动于衷,wúdòngyúzhōng,aloof; indifferent; unconcerned
对抗,duìkàng,antagonism; confrontation; to resist; to stand off; to withstand
腐烂,fǔlàn,(fig.) corrupt; to putrefy; to rot
枯燥,kūzào,dry and dull; dry-as-dust; uninteresting
探索,tànsuǒ,to explore; to probe
现场,xiànchǎng,(at) the site; (on) the spot; the scene (of a crime, accident etc)
玉,yù,jade
嘛,má,(Tw) (coll.) what?
嘛,ma,modal particle indicating that sth is obvious; particle indicating a pause for emphasis
宽容,kuānróng,charitable; indulgent; lenient; to forgive; tolerant
庸俗,yōngsú,tacky; tawdry; vulgar
坚韧,jiānrèn,tenacious; tough and durable
二氧化碳,èryǎnghuàtàn,carbon dioxide CO2
容纳,róngnà,to accommodate; to contain; to hold; to tolerate (different opinions)
补贴,bǔtiē,allowance; benefit; subsidy; to subsidize; to supplement (one's salary etc)
沉闷,chénmèn,(of sound) dull; depressed; heavy; muffled; not happy; oppressive (of weather)
发觉,fājué,to become aware; to detect; to perceive; to realize
吼,hǒu,bellow of rage; roar or howl of an animal; to howl; to roar; to shriek
逝世,shìshì,to die; to pass away
齐全,qíquán,complete; comprehensive
开辟,kāipì,to establish; to open up; to set up
机遇,jīyù,favorable circumstance; opportunity; stroke of luck
宗旨,zōngzhǐ,aim; goal; objective
抹杀,mǒshā,to blot out; to cover traces; to erase; to expunge; to obliterate evidence; to suppress
延期,yánqī,to defer; to delay; to extend; to postpone
昏迷,hūnmí,coma; disoriented; stunned; stupor; to be in a coma; to lose consciousness
知足常乐,zhīzúchánglè,satisfied with what one has (idiom)
扣,kòu,button
扣,kòu,(Tw) (loanword) code; (fig.) to tag a label on sb; buckle; button; discount; knot; to arrest; to button; to confiscate; to cover (with a bowl etc); to deduct (money); to fasten; to knock; to smash, spike or dunk (a ball)
承诺,chéngnuò,commitment; to promise; to undertake to do something
局面,júmiàn,aspect; phase; situation
丢人,diūrén,to lose face
合伙,héhuǒ,to act jointly; to form a partnership
诱惑,yòuhuò,to attract; to entice; to induce; to lure
窍门,qiàomén,a trick; an ingenious method; know-how; the knack (of doing sth)
旋转,xuánzhuǎn,to revolve; to rotate; to spin; to whirl
民间,mínjiān,among the people; folk; involving people rather than governments; non-governmental; popular
俯视,fǔshì,to look down at; to overlook
蕴藏,yùncáng,to contain (untapped reserves etc); to hold in store
生锈,shēngxiù,oxidization; to corrode; to grow rusty; to rust
暴露,bàolù,also pr. [pu4 lu4]; to expose; to lay bare; to reveal
保密,bǎomì,to keep sth confidential; to maintain secrecy
性命,xìngmìng,life
边疆,biānjiāng,border area; borderland; frontier; frontier region
原告,yuángào,complainant; plaintiff
抵达,dǐdá,to arrive; to reach (a destination)
实施,shíshī,to carry out; to implement
教养,jiàoyǎng,to educate; to bring up; to nurture; upbringing; breeding; culture
责怪,zéguài,to blame; to rebuke
惦记,diànjì,to be concerned about; to keep thinking about; to think of
掐,qiā,(slang) to fight; to clutch; to nip; to pick (flowers); to pinch; to pinch off
后代,hòudài,descendant; later ages; later generations; posterity; progeny
品德,pǐndé,moral character
竞赛,jìngsài,contest; competition; match; race; to compete; to race
力所能及,lìsuǒnéngjí,as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers
耐用,nàiyòng,durable
慈祥,cíxiáng,benevolent (often of older person); kindly
啥,shá,also pr. [sha4]; dialectal equivalent of 什麼|什么[shen2 me5]
偏差,piānchā,bias; deviation
唠叨,láodao,garrulous; nagging; to chatter away; to nag; to prattle
掩护,yǎnhù,cover; protection; to cover; to screen; to shield
舒畅,shūchàng,happy; entirely free from worry
任性,rènxìng,headstrong; unruly; willful
领事馆,lǐngshìguǎn,consulate
原理,yuánlǐ,principle; theory
悬挂,xuánguà,(vehicle) suspension; to hang; to suspend
通俗,tōngsú,average; common; everyday
耕地,gēngdì,arable land; to plow land
宗教,zōngjiào,religion
而已,éryǐ,nothing more; that's all
侥幸,jiǎoxìng,by a fluke; luckily
细致,xìzhì,careful; delicate; fine; meticulous; painstaking
庞大,pángdà,enormous; huge; tremendous
罕见,hǎnjiàn,rare; rarely seen
夹杂,jiāzá,a mix; to be tangled up with; to mingle; to mix together (disparate substances)
铺,pù,store
铺,pū,(old) holder for door-knocker; to display; to set up; to spread
铺,pù,(old) relay station; place to sleep; plank bed; shop; store
寄托,jìtuō,a thing in which you invest (your hope, energy etc); to entrust (to sb); to place (one's hope, energy etc) in
化妆,huàzhuāng,to put on makeup
装卸,zhuāngxiè,to assemble and disassemble; to load or unload; to transfer
纠正,jiūzhèng,to correct; to make right
隐患,yǐnhuàn,a danger concealed within sth; hidden damage; misfortune not visible from the surface
倾向,qīngxiàng,orientation; tendency; trend
漫长,màncháng,endless; very long
沐浴,mùyù,to bathe; to immerse; to take a bath
专长,zhuāncháng,special knowledge or ability; specialty
支流,zhīliú,tributary (river)
愤怒,fènnù,angry; indignant; ire; wrath
苦涩,kǔsè,agonized; bitter and astringent; pained
微观,wēiguān,micro-; subatomic
